year,country,code,gdp,pop,unemp,hc
2001,Cote d'Ivoire,CIV,22349262370,16853027,4.71,NA
2001,Croatia,HRV,48059002802,4299642,15.82,NA
2001,Cuba,CUB,39962758543,11164676,4.08,NA
2001,Curacao,CUW,NA,129047,NA,NA
2001,Cyprus,CYP,19253293119,960274,3.98,NA
2001,Czech Republic,CZE,1.57335E+11,10216605,7.99,NA
2001,Denmark,DNK,3.00676E+11,5358783,4.16,NA
2001,Djibouti,DJI,NA,733019,11.63,NA
2001,Dominica,DMA,388317955.3,69671,NA,NA
2001,Dominican Republic,DOM,35165693164,8598599,7.26,NA
2001,Early-demographic dividend,EAR,5.7256E+12,2516662185,6.382219027,NA
2001,East Asia & Pacific,EAS,1.12653E+13,2065912033,3.945598151,NA
2001,East Asia & Pacific (excluding high income),EAP,3.53051E+12,1833422980,3.830016074,NA
2001,East Asia & Pacific (IDA & IBRD countries),TEA,3.52346E+12,1810261111,3.842397973,NA
2001,Ecuador,ECU,48325007475,12914660,4.25,NA
2001,"Egypt, Arab Rep.",EGY,1.41235E+11,70152662,9.26,NA
2001,El Salvador,SLV,15833070782,5927001,6.96,NA
2001,Equatorial Guinea,GNQ,5509854251,631662,8.52,NA
2001,Eritrea,ERI,1583579325,2374721,6.85,NA
2001,Estonia,EST,14891146994,1388115,13.13,NA
2001,Eswatini,SWZ,3167826039,1013608,25,NA
2001,Ethiopia,ETH,14160304516,68159422,3.28,NA
2001,Euro area,EMU,1.14637E+13,322547874,8.347991314,NA
2001,Europe & Central Asia,ECS,1.78888E+13,862347956,9.099718522,NA
2001,Europe & Central Asia (excluding high income),ECA,1.98072E+12,391315286,10.00720963,NA
2001,Europe & Central Asia (IDA & IBRD countries),TEC,2.35983E+12,433863004,10.81651152,NA
2001,European Union,EUU,1.29662E+13,429895628,9.195806895,NA
2001,Faroe Islands,FRO,NA,46999,NA,NA
2001,Fiji,FJI,2743044173,813923,3.95,NA
2001,Finland,FIN,2.14594E+11,5188008,10.29,NA
2001,Fragile and conflict affected situations,FCS,9.58737E+11,586760366,5.652982762,NA
2001,France,FRA,2.37981E+12,61357432,8.61,NA
2001,French Polynesia,PYF,NA,244929,11.67,NA
2001,Gabon,GAB,12759485289,1258008,17.29,NA
2001,"Gambia, The",GMB,1160866126,1360070,9.51,NA
2001,Georgia,GEO,6980203397,4014373,11.16,NA
2001,Germany,DEU,3.17109E+12,82349925,7.77,NA
2001,Ghana,GHA,19103716042,19756929,9.26,NA
2001,Gibraltar,GIB,NA,31604,NA,NA
2001,Greece,GRC,2.59691E+11,10862132,10.46,NA
2001,Greenland,GRL,1832206718,56350,NA,NA
2001,Grenada,GRD,633194600.9,103242,NA,NA
2001,Guam,GUM,NA,156395,13.21,NA
2001,Guatemala,GTM,29975616851,11871565,2.78,NA
2001,Guinea,GIN,5234798039,8417082,4.52,NA
2001,Guinea-Bissau,GNB,675615129.9,1227105,3.14,NA
2001,Guyana,GUY,2779146826,745206,11.79,NA
2001,Haiti,HTI,9703874561,8608810,9.31,NA
2001,Heavily indebted poor countries (HIPC),HPC,3.11155E+11,485112670,5.182846978,NA
2001,High income,HIC,3.88712E+13,1081809509,6.505985913,NA
2001,Honduras,HND,10857538040,6751912,4,NA
2001,"Hong Kong SAR, China",HKG,1.54262E+11,6714300,5.09,NA
2001,Hungary,HUN,1.11372E+11,10187576,5.67,NA
2001,IBRD only,IBD,1.17362E+13,4032822479,6.19956652,NA
2001,Iceland,ISL,11067012076,284968,1.87,NA
2001,IDA & IBRD total,IBT,1.26122E+13,5137401800,5.863002753,NA
2001,IDA blend,IDB,4.12726E+11,368820674,3.648092132,NA
2001,IDA only,IDX,4.64474E+11,735758647,4.653086651,NA
2001,IDA total,IDA,8.79532E+11,1104579321,4.346785518,NA
2001,India,IND,9.15488E+11,1075000094,5.73,NA
2001,Indonesia,IDN,4.69934E+11,214427419,6.08,NA
2001,"Iran, Islamic Rep.",IRN,3.18497E+11,66449111,12.09,NA
2001,Iraq,IRQ,1.19205E+11,24208178,9.02,NA
2001,Ireland,IRL,1.76633E+11,3866243,3.68,NA
2001,Isle of Man,IMN,3681685842,77707,NA,NA
2001,Israel,ISR,1.74442E+11,6439000,11.81,NA
2001,Italy,ITA,2.10903E+12,56974100,9.6,NA
2001,Jamaica,JAM,12533420883,2674706,14.93,NA
2001,Japan,JPN,5.37067E+12,127149000,5,NA
2001,Jordan,JOR,15566511285,5217328,14.7,NA
2001,Kazakhstan,KAZ,75876081176,14858335,10.43,NA
2001,Kenya,KEN,27188928219,32848569,2.91,NA
2001,Kiribati,KIR,143231159.8,85844,NA,NA
2001,"Korea, Dem. People's Rep.",PRK,NA,23132982,2.96,NA
2001,"Korea, Rep.",KOR,7.59757E+11,47370164,4,NA
2001,Kosovo,XKX,3995633983,1701154,NA,NA
2001,Kuwait,KWT,73921144452,2103273,0.8,NA
2001,Kyrgyz Republic,KGZ,3375644150,4945100,7.84,NA
2001,Lao PDR,LAO,3788213052,5409584,1.82,NA
2001,Late-demographic dividend,LTE,7.42783E+12,2059873472,5.359340061,NA
2001,Latin America & Caribbean,LCN,3.95508E+12,528283130,8.743802968,NA
2001,Latin America & Caribbean (excluding high income),LAC,3.33678E+12,478530627,8.425325202,NA
2001,Latin America & the Caribbean (IDA & IBRD countries),TLA,3.78814E+12,512247446,8.8243586,NA
2001,Latvia,LVA,17526676508,2337170,13.82,NA
2001,Least developed countries: UN classification,LDC,3.90101E+11,673903088,4.24534819,NA
2001,Lebanon,LBN,22811343688,3990999,8.18,NA
2001,Lesotho,LSO,1693114156,2035738,34.35,NA
2001,Liberia,LBR,1800941881,2953928,2.31,NA
2001,Libya,LBY,47179698570,5443249,19.16,NA
