year,recipient_iso3,pmm_fh,pmm_polity,gdp,pop,unemp,disaster,civilwar,dist,distw,distwces,trade,atopally
2002,SRB,2.5,-4,30064089626,7496522,13.8,3.999999879,0,7720.185416666666,7888.061920113525,7822.4436827525005,173442208,0
2003,SRB,4,5,31383228830,7480591,15.2,8.000000012,0,7720.185416666666,7888.061920113525,7822.4436827525005,111525472,0
2004,SRB,1.5,-7,34216568531,7463157,18.5,0,0,7720.185416666666,7888.061920113525,7822.4436827525005,197341632,0
2005,SRB,2.5,-6,36108863544,7440769,20.85,3.000000007,0,7720.185416666666,7888.061920113525,7822.4436827525005,199097536,0
2006,SRB,2.5,-7,37953228516,7411569,20.85,1,0,7720.185416666666,7888.061920113525,7822.4436827525005,337488640,0
2007,SRB,2,-7,40397236365,7381579,18.06,0,0,7720.185416666666,7888.061920113525,7822.4436827525005,1297369728,0
2008,SRB,2,-6,42681933020,7350222,13.71,0.999999994,0,7720.185416666666,7888.061920113525,7822.4436827525005,617433024,0
2009,SRB,1.5,-7,41515968466,7320807,16.14,0,0,7720.185416666666,7888.061920113525,7822.4436827525005,577754176,0
2010,SRB,2.5,2,41819468692,7291436,19.22,5.000000037,0,7720.185416666666,7888.061920113525,7822.4436827525005,886415232,0
2011,SRB,3,-2,42671028784,7234099,22.97,1.000000007,0,7720.185416666666,7888.061920113525,7822.4436827525005,642931712,0
2012,SRB,2,-6,42380207644,7199077,24,1.000000004,0,7720.185416666666,7888.061920113525,7822.4436827525005,1083915520,0
2013,SRB,2.5,-5,43606113098,7164132,22.15,0,0,7720.185416666666,7888.061920113525,7822.4436827525005,735546624,0
2014,SRB,5,9,42912989430,7130576,19.22,56.99999978,0,7720.185416666666,7888.061920113525,7822.4436827525005,1038506176,0
2000,URY,7,10,29883433689,3319734,12.63,0,0,19175.5859375,19064.299854185487,19054.418907137475,13935419,0
2001,URY,7,10,28734675664,3325471,15.05,0,0,19175.5859375,19064.299854185487,19054.418907137475,84408920,0
2002,URY,7,10,26512908471,3326046,16.65,2.000000001,0,19175.5859375,19064.299854185487,19054.418907137475,69673424,0
2003,URY,7,10,26726412659,3323661,16.66,0,0,19175.5859375,19064.299854185487,19054.418907137475,52687660,0
2004,URY,7,10,28063845200,3321486,12.98,0,0,19175.5859375,19064.299854185487,19054.418907137475,94335672,0
2005,URY,7,10,30157445135,3321799,12.01,1.000000026,0,19175.5859375,19064.299854185487,19054.418907137475,133256256,0
2006,URY,7,10,31393471355,3325403,10.84,0,0,19175.5859375,19064.299854185487,19054.418907137475,243253920,0
2007,URY,7,10,33447078687,3331753,9.4,2,0,19175.5859375,19064.299854185487,19054.418907137475,338357632,0
2008,URY,7,10,35847289440,3340221,8.03,0,0,19175.5859375,19064.299854185487,19054.418907137475,494075616,0
2009,URY,7,10,37368467080,3349676,7.74,1,0,19175.5859375,19064.299854185487,19054.418907137475,525799104,0
2010,URY,7,10,40284481652,3359273,7.16,0,0,19175.5859375,19064.299854185487,19054.418907137475,727286784,0
