recipient_iso3,year,frequencies_by_year,counts_by_year,relevant
TON,2011,0.15,16,1
TON,2012,0.15,14,1
TON,2013,0.13,10,1
TON,2014,0.07,5,1
TON,2015,0.06,3,1
TON,2016,0.15,8,1
TON,2017,0.15,8,1
KGZ,2000,0.18,9,1
KGZ,2001,0.17,8,1
KGZ,2002,0.2,9,1
KGZ,2003,0.09,5,1
KGZ,2004,0.06,3,1
KGZ,2005,0.3,15,1
KGZ,2006,0.27,14,1
KGZ,2007,0.27,13,1
KGZ,2008,0.31,14,1
KGZ,2009,0.27,26,1
KGZ,2010,1.13,130,1
KGZ,2011,0.52,56,1
KGZ,2012,0.26,24,1
KGZ,2013,0.3,23,1
KGZ,2014,0.27,18,1
KGZ,2015,0,0,1
KGZ,2016,0,0,1
KGZ,2017,0,0,1
LAO,2000,0.69,34,1
LAO,2001,0.44,21,1
LAO,2002,0.85,39,1
LAO,2003,0.94,50,1
LAO,2004,0.81,41,1
LAO,2005,1.22,61,1
LAO,2006,0.93,48,1
LAO,2007,1.1,53,1
LAO,2008,0.52,23,1
LAO,2009,0.88,86,1
LAO,2010,0.64,74,1
LAO,2011,1.19,129,1
LAO,2012,0.94,88,1
LAO,2013,0.94,72,1
LAO,2014,1,67,1
LAO,2015,0,0,1
LAO,2016,0,0,1
LAO,2017,0,0,1
LBN,2000,1.04,51,1
LBN,2001,0.96,46,1
LBN,2002,0.79,36,1
LBN,2003,0.34,18,1
LBN,2004,0.46,23,1
LBN,2005,0.6,30,1
LBN,2006,4.24,219,1
LBN,2007,1.52,73,1
LBN,2008,0.81,36,1
LBN,2009,0.91,89,1
LBN,2010,0.87,100,1
LBN,2011,0.48,52,1
LBN,2012,1.38,129,1
LBN,2013,1.84,141,1
LBN,2014,1.24,83,1
LBN,2015,1.3,68,1
LBN,2016,1.08,57,1
LBN,2017,0.82,44,1
LBY,2000,0.24,12,1
LBY,2001,0.36,17,1
LBY,2002,0.2,9,1
LBY,2003,0.04,2,1
LBY,2004,0.46,23,1
LBY,2005,0.58,29,1
LBY,2006,0.31,16,1
LBY,2007,0.48,23,1
LBY,2008,0.4,18,1
LBY,2009,0.36,35,1
LBY,2010,0.37,43,1
LBY,2011,3.86,417,1
LBY,2012,0.53,50,1
LBY,2013,0.33,25,1
LBY,2014,0.75,50,1
LBY,2015,0.65,34,1
LBY,2016,0.66,35,1
LBY,2017,1.22,65,1
MYS,2000,2.41,118,1
MYS,2001,1.78,85,1
MYS,2002,2.19,100,1
MYS,2003,2.51,133,1
MYS,2004,2.44,123,1
MYS,2005,2.69,135,1
MYS,2006,2.5,129,1
MYS,2007,2.39,115,1
MYS,2008,1.35,60,1
MYS,2009,2.2,214,1
MYS,2010,2.21,254,1
MYS,2011,1.91,207,1
MYS,2012,1.71,160,1
MYS,2013,2.17,167,1
MYS,2014,1.94,130,1
MYS,2015,1.47,77,1
MYS,2016,0.81,43,1
MYS,2017,1.14,61,1
MEX,2000,0.83,41,1
MEX,2001,1.2,58,1
MEX,2002,1.58,72,1
MEX,2003,1.58,84,1
MEX,2004,0.91,47,1
MEX,2005,1.13,57,1
MEX,2006,0.68,35,1
MEX,2007,1.1,53,1
MEX,2008,2.02,86,1
MEX,2009,2,195,1
MEX,2010,1.99,228,1
MEX,2011,0.84,91,1
MEX,2012,1.03,96,1
MEX,2013,0.76,58,1
MEX,2014,0.67,45,1
MEX,2015,0.74,39,1
MEX,2016,0.81,43,1
MEX,2017,1.51,81,1
MNG,2000,0.41,20,1
MNG,2001,0.4,19,1
MNG,2002,0.35,16,1
MNG,2003,0.15,8,1
MNG,2004,0.12,6,1
MNG,2005,0.22,11,1
MNG,2006,0.43,22,1
MNG,2007,0.31,15,1
MNG,2008,0.47,21,1
MNG,2009,0.31,30,1
MNG,2010,0.46,53,1
MNG,2011,0.65,70,1
MNG,2012,0.71,66,1
MNG,2013,0.43,33,1
MNG,2014,0.48,32,1
MNG,2015,0.38,20,1
MNG,2016,0.45,24,1
MNG,2017,0.37,20,1
MNE,2000,0.08,4,1
MNE,2001,0.04,2,1
MNE,2002,0.02,1,1
MNE,2003,0.06,3,1
MNE,2004,0.12,6,1
MNE,2005,0.2,10,1
MNE,2006,0.17,9,1
MNE,2007,0.08,4,1
MNE,2008,0.09,4,1
MNE,2009,0.11,11,1
MNE,2010,0.16,18,1
MNE,2011,0.07,8,1
MNE,2012,0.11,10,1
MNE,2013,0.14,11,1
MNE,2014,0.22,15,1
MNE,2015,0.19,10,1
MNE,2016,0.15,8,1
MNE,2017,0.22,12,1
NRU,2000,0.04,2,1
NRU,2001,0,0,1
NRU,2002,0.02,1,1
NRU,2003,0.02,1,1
NRU,2004,0.14,7,1
NRU,2005,0.04,2,1
NRU,2006,0.04,2,1
NRU,2007,0.08,4,1
NRU,2008,0.04,2,1
NRU,2009,0.04,4,1
NRU,2010,0.05,6,1
NRU,2011,0.07,8,1
NRU,2012,0.11,10,1
NRU,2013,0.04,3,1
NRU,2014,0,0,1
NRU,2015,0.08,4,1
NRU,2016,0,0,1
NRU,2017,0,0,1
NIU,2000,0.02,1,1
