"","country_mentioned","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"210","Saint-Barthelemy, Saint Barthelemy",NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"211","Saint-Martin, Saint Martin",NA,NA,1,NA,1,1,NA,2,1,1,NA,2,8,11,3
"212","Saint-Pierre et Miquelon, Saint Pierre and Miquelon",NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
"213","Serbia",173,281,73,502,652,870,1398,1293,1750,1732,2331,1799,1558,1081,1071
"214","Serbia and Montenegro",38,26,6,26,3,2,5,5,1,10,2,NA,NA,NA,NA
"215","Sint Maarten",NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,6,8,NA
"216","Slovak Republic, Slovakia",663,561,589,623,787,912,806,680,855,1267,1388,1055,828,701,1053
"217","Socialist Republic of Vietnam, Vietnam",1179,1460,1852,2051,2272,2660,3556,3773,2166,4581,5398,4566,3359,3198,2823
"218","Solomon Islands",122,22,12,74,118,53,234,212,38,162,270,153,142,127,99
"219","Somalia",346,359,367,332,431,491,754,1021,831,2534,2108,1960,1801,1222,929
"220","South Sudan",3,NA,NA,1,NA,6,33,48,8,51,104,828,1478,1004,1100
"221","State of Eritrea, Eritrea",537,279,271,239,347,227,289,268,73,298,214,178,165,183,130
"222","State of Israel, Israel",5602,5642,6582,6005,5363,4974,7261,4550,4306,9436,10482,7613,6882,4722,3800
"223","State of Kuwait, Kuwait",1252,1242,1317,1536,1351,736,843,719,413,1060,1063,1300,646,448,359
"224","State of Qatar, Qatar",561,755,677,1160,1225,734,1094,698,646,1350,1722,1848,1724,1215,700
"225","State of the Vatican City, Vatican",69,22,26,31,29,62,70,24,35,36,51,41,37,63,49
"226","Sultanate of Oman, Oman",383,316,212,199,401,195,214,278,263,356,534,591,389,273,168
"227","Svalbard and Jan Mayen",NA,9,3,NA,NA,1,2,1,11,7,1,NA,8,4,NA
"228","Switzerland",1487,1504,1482,1401,1662,1642,1892,1415,2038,2970,2975,1862,1760,1586,1620
"229","Syrian Arab Republic, Syria",1542,1016,743,1367,1023,1442,1621,1345,990,1815,2009,4957,10364,8130,4263
"230","Taiwan",2040,2002,2002,1818,2173,2916,2689,2255,3684,4517,4357,3580,3028,2475,1869
"231","Territory of Christmas Island, Christmas Island",1,52,6,1,NA,NA,3,6,NA,100,204,243,121,46,30
"232","Territory of Cocos (Keeling) Islands, Cocos Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2,NA,5,1,12
