,country_mentioned,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
174,"Republic of Namibia, Namibia",0.25,0.2,0.18,0.14,0.12,0.07,0.1,0.16,0.07,0.06,0.06,0.07,0.07,0.08,0.07
175,"Republic of Nicaragua, Nicaragua",0.09,0.07,0.04,0.08,0.08,0.07,0.05,0.06,0.1,0.13,0.06,0.05,0.04,0.05,0.04
176,"Republic of Niger, Niger",0.05,0.04,0.06,0.08,0.07,0.07,0.06,0.11,0.04,0.06,0.09,0.1,0.1,0.11,0.06
177,"Republic of Palau, Palau",0.01,0,0,0.01,0.02,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.02,0.02,0.01
178,"Republic of Panama, Panama",0.12,0.08,0.07,0.08,0.11,0.12,0.09,0.09,0.15,0.14,0.14,0.11,0.05,0.08,0.05
179,"Republic of Paraguay, Paraguay",0.12,0.16,0.22,0.14,0.17,0.12,0.17,0.11,0.14,0.12,0.15,0.06,0.06,0.08,0.05
180,"Republic of Peru, Peru",0.25,0.24,0.18,0.23,0.3,0.29,0.21,0.28,0.41,0.22,0.19,0.16,0.12,0.19,0.14
181,"Republic of Poland, Poland",0.27,0.29,0.34,0.29,0.38,0.45,0.57,0.73,0.84,0.53,0.49,0.4,0.43,0.4,0.55
182,"Republic of Rwanda, Rwanda",0.31,0.32,0.28,0.27,0.36,0.25,0.16,0.16,0.1,0.17,0.13,0.1,0.14,0.14,0.14
183,"Republic of Senegal, Senegal",0.11,0.13,0.31,0.14,0.13,0.11,0.14,0.17,0.1,0.1,0.08,0.07,0.14,0.11,0.1
184,"Republic of Seychelles, Seychelles",0.04,0.04,0.06,0.06,0.04,0.04,0.04,0.07,0.03,0.04,0.05,0.04,0.05,0.03,0.02
185,"Republic of Sierra Leone, Sierra Leone",0.36,0.24,0.17,0.1,0.05,0.06,0.06,0.07,0.05,0.05,0.05,0.04,0.06,0.05,0.29
186,"Republic of Singapore, Singapore",0.93,0.94,1.28,1.21,1.24,1.76,1.46,1.46,0.8,1.29,1.2,1.23,1.2,1.21,1.14
